Time,Open,High,Low,Last,Change,%Chg,Volume,ATR14_W,RSI14_W,EMA9,EMA20,EMA50,VWAP,RVOL20,RVOL_MOD,RVOL_MOD_EXCL,OBV,StochRSI_K,StochRSI_D
2025-08-07 19:20:00,220.77,220.77,220.75,220.75,-0.03,-0.01%,400.0,0.03178272834978121,50.42111240390822,220.77904624148138,220.7621654512999,220.6820402816463,219.89513056781612,0.7844675426554226,0.2892844228373981,0.27767569112662827,94230.0,31.506571556813853,41.00504627994492
2025-08-07 19:21:00,220.73,220.73,220.73,220.73,-0.02,-0.01%,209.0,0.03094110489622614,47.86877864042813,220.76923699318513,220.7591020749856,220.68392105491506,219.89513640044282,0.4055496264674493,0.3549756813093492,0.34439736346516003,94021.0,21.004381037875902,34.338157865921914
2025-08-07 19:22:00,220.7,220.7,220.68,220.68,-0.05,-0.02%,1412.0,0.03230245454649448,42.127420921695936,220.7513895945481,220.7515685440346,220.68376728805566,219.89517375822282,2.4445983379501386,1.6818283332092607,1.761916645869728,92609.0,14.002920691917268,27.559745474587032
2025-08-07 19:31:00,220.7,220.7,220.7,220.7,0.02,+0.01%,126.0,0.03142370779317215,44.97058442247551,220.74111167563848,220.74665725412655,220.68440386499466,219.8951771478324,0.21765417170495768,0.05129596960238838,0.04897292885321725,92735.0,13.799948588421385,22.973146512531816
2025-08-07 19:34:00,220.75,220.75,220.75,220.75,0.05,+0.02%,159.0,0.03275058580794638,51.39893399151765,220.7428893405108,220.7469756108764,220.68697626244585,219.89518169088694,0.29617211511595415,0.16197729698263316,0.1554632119286238,92894.0,23.75918079779518,23.235157940952934
2025-08-07 19:39:00,220.68,220.68,220.68,220.68,-0.07,-0.03%,163.0,0.03541125825023544,43.70198712424071,220.73031147240866,220.74059698126914,220.68670268352642,219.89518596680196,0.3032558139534884,0.1532963415781059,0.14675638534805477,92731.0,18.312022022691426,21.594112634865766
2025-08-07 19:43:00,220.7,220.7,220.7,220.7,0.02,+0.01%,124.0,0.034310454089503034,46.18175236661614,220.72424917792694,220.73673060210066,220.68722414691754,219.89518930250793,0.25116467490378774,0.11546221095649475,0.10975165304316135,92855.0,18.574600484561675,20.5876085847644
2025-08-07 19:45:00,220.72,220.72,220.72,220.72,0.02,+0.01%,150.0,0.03328827879739641,48.61902722243166,220.72339934234157,220.7351372114244,220.68850947448942,219.89519343787342,0.30646644192460926,0.08450132948758395,0.08139640047029031,93005.0,22.57694705918318,21.25072140957066
2025-08-07 19:48:00,220.82,220.82,220.82,220.82,0.1,+0.05%,178.0,0.03805340174043912,58.69211470148404,220.74271947387325,220.7432193817649,220.6936659656859,219.89519894007728,0.37604309707404665,0.19517543859649122,0.18682215743440234,93183.0,41.06311914444259,27.854853987861304
2025-08-07 19:51:00,220.74,220.74,220.74,220.74,-0.08,-0.04%,100.0,0.04104958733040661,50.21131929737897,220.7421755790986,220.74291277397776,220.6954829866394,219.89520176377872,0.22398924851607124,0.06866286533122369,0.0658741803155972,93083.0,40.06969622962856,31.92646806845039
2025-08-07 19:53:00,220.74,220.74,220.74,220.74,0.0,0.00%,100.0,0.038117473949663284,50.21131929737897,220.7417404632789,220.74263536693226,220.69722875186923,219.89520458746125,0.35530289571860013,0.05885093548466198,0.05653744991519383,93083.0,39.40741428641922,34.42011680777333
2025-08-07 19:55:00,220.7,220.7,220.7,220.7,-0.04,-0.02%,121.0,0.03825194009611737,46.329347439098946,220.7333923706231,220.73857485579586,220.69733742826654,219.8952078423187,0.4283185840707965,0.11239950030430187,0.10894591292044505,92962.0,33.254007394846035,34.031413670130895
2025-08-07 19:57:00,220.7201,220.7201,220.7201,220.7201,0.0201,+0.01%,100.0,0.03695537294639566,48.48464956881262,220.73073389649852,220.73681534572006,220.69823007813844,219.89521059944613,0.35752592062924565,0.07389617587289858,0.07144558228149558,93062.0,34.96206624164473,34.341631193968844
2025-08-07 19:58:00,220.71,220.71,220.71,220.71,-0.0101,0.00%,350.0,0.0350371320216527,47.453435239146486,220.72658711719882,220.73426150327055,220.69869164370164,219.89522013109413,1.4158576051779936,0.24078254326561324,0.2350265352539803,92712.0,34.025647090666375,34.236303159534685
2025-08-07 19:59:00,220.7201,220.7201,220.7201,220.7201,0.0101,0.00%,100.0,0.033255908305819946,48.63006115665322,220.72528969375907,220.73291278867333,220.6995311870859,219.89522288813902,0.4095004095004095,0.03332688296888774,0.03228653221119697,92812.0,35.769106199771024,34.74723750628013
2025-08-08 04:00:00,220.75,220.76,220.75,220.75,0.0299,+0.01%,999.0,0.03373048628397486,52.05293289662039,220.73023175500728,220.734540142133,220.7015103562198,220.75333333333333,3.607149304928688,0.1852859350850077,0.18167584087007818,0.0,43.8192984104806,37.771257807680286
2025-08-08 04:02:00,220.78,220.84,220.78,220.84,0.09,+0.04%,304.0,0.037749737263691185,60.569585362190615,220.75218540400584,220.74458393812034,220.70694132264256,220.76888718342286,1.063308849247989,0.195225327917543,0.19127825371472823,304.0,62.5461989403204,46.029571518560324
2025-08-08 04:03:00,220.75,220.75,220.75,220.75,-0.09,-0.04%,125.0,0.04148189888771349,50.84370820666419,220.75174832320468,220.74509975353746,220.7086298982252,220.7672338935574,0.4593055300385817,0.12401393795673425,0.12135627776024853,179.0,55.810759747263724,49.289967594794796
2025-08-08 04:04:00,220.69,220.71,220.69,220.71,-0.04,-0.02%,700.0,0.04280462039573412,47.21496670139093,220.74339865856376,220.74175691986724,220.7086836277066,220.7462139724311,2.31673010094324,0.6240527770348577,0.6180945480891142,-521.0,44.149437118870175,47.576457436153255
2025-08-08 04:05:00,220.81,220.81,220.8,220.8,0.09,+0.04%,400.0,0.04689000465318128,54.99752549972018,220.754718926851,220.7473038798799,220.7122646619142,220.75525184599158,1.2658227848101267,0.429769392033543,0.423728813559322,-121.0,49.85709731739258,48.3366707298997
2025-08-08 04:06:00,220.82,220.85,220.82,220.85,0.05,+0.02%,400.0,0.047112147177952826,58.64545962547206,220.77377514148083,220.75708446274848,220.71766604772148,220.76682946265942,1.2658227848101267,0.3747117601844735,0.3686457120682965,279.0,62.067433818325945,52.913591759375116
